Municipality;CPEs;kWh
Abrantes;528780;274766357.866
Aguiar da Beira;54263;22712198.48
Alandroal;33064;14705961.968
Albergaria-a-Velha;128169;177181445.208
Albufeira;433256;267503944.936
Alcanena;107445;79004907.814
Alcobaça;1020370;512179869.188
Alcochete;59095;40024291.992
Alcoutim;22218;4892196.456
Alcácer do Sal;67840;50664573.848
Alenquer;497160;415569465.674
Alfândega da Fé;58338;18197753.232
Alijó;192066;57455392.12
Aljezur;39138;15043123.552
Aljustrel;42406;120975051.784
Almada;1164470;392545905.24
Almeida;147294;39034732.352
Almeirim;112936;53245146.032
Almodôvar;51237;17471217.744
Alpiarça;9260;7961860.842
Alter do Chão;23136;6864962.776
Alvaiázere;47176;12487458.45
Alvito;6900;4882577.976
Amadora;1184796;463105578.984
Amarante;1271880;483906768.644
Amares;249238;112393504.032
Anadia;311310;198046846.96
Ansião;108576;31341638.484
Arcos de Valdevez;802704;557121574.51199
Arganil;211660;100336913.32
Armamar;102940;41555655.932
Arouca;291410;130125451.616
Arraiolos;48740;20921418.16
Arronches;9276;4793687.286
Arruda dos Vinhos;53746;23905536.696
Aveiro;1080303;1198545941.56
Avis;38184;53566203.48
Azambuja;161382;178842527.878
Baião;214974;74576855.584
Barcelos;6072634;4092752698.45199
Barrancos;2478;802811.006
Barreiro;345254;132779848.64
Batalha;78808;49996499.288
Beja;576350;1092200386.152
Belmonte;30720;8905406.288
Benavente;123872;97296629.536
Bombarral;71144;25208955.48
Borba;30044;14087543.224
Boticas;67900;27694445.86
Braga;7014810;4276363537.59604
Bragança;1408825;753924451.254
Cabeceiras de Basto;159675;60007416.72
Cadaval;116400;42563449.306
Caldas da Rainha;816486;353633594.28
Caminha;276301;95717076.14
Campo Maior;32232;30392938.422
Cantanhede;561177;447399839.684
Carrazeda de Ansiães;78246;26462905.532
Carregal do Sal;51289;20487713.99
Cartaxo;162294;96604963.908
Cascais;1023744;403136315.24
Castanheira de Pêra;5286;1541989.094
Castelo Branco;1226036;626976797.884
Castelo de Paiva;64656;41392469.448
Castelo de Vide;17700;9116517.968
Castro daire;265524;82138450.176
Castro Marim;65212;35843147.768
Castro Verde;29988;11557934.272
Celorico da Beira;131943;40815610.528
Celorico de Basto;221720;100133494.98
Chamusca;63190;54393078.62
Chaves;1538550;703118531.466
Cinfães;233624;70157391.024
Coimbra;3022048;2044606705.128
Condeixa-a-Nova;93460;57939224.462
Constância;14556;21530698.968
Coruche;139812;102495505.344
Covilhã;1189782;661535536.914
Crato;18972;6528196.584
Cuba;25120;14199991.96
Elvas;174707;82136797.792
Entroncamento;50120;21989377.408
Espinho;149112;52533413.76
Esposende;416320;160032528.162
Estarreja;115752;529410717.45
Estremoz;151056;71635337.478
Fafe;1015700;572276907.8
Faro;412398;176524396.416
Felgueiras;982905;534529284.12
Ferreira do Alentejo;42856;46876030.104
Ferreira do Zêzere;87186;48503258.986
Figueira da Foz;1248825;2087884496.236
Figueira de Castelo Rodrigo;69628;20753502.76
Figueiró dos Vinhos;26245;7591501.64
Fornos de Algodres;57512;20008076.088
Freixo de Espada À Cinta;17590;5050138.712
Fronteira;15378;4961975.046
Fundão;727380;320364106.048
Gavião;24745;6185462.92
Golegã;21375;18915478.554
Gondomar;1083875;413750637.146
Gouveia;249941;74765841.632
Grândola;101448;56012882.432
Guarda;1656450;1276825502.878
Guimarães;6959480;5658856750.55999
Góis;29958;5936234.624
Idanha-a-Nova;194076;71033755.234
Lagoa;194272;101032752.768
Lagos;275832;112801476.224
Lamego;505484;190063719.72
Leiria;2986344;1862692129.224
Lisboa;19334028;11647899232.94407
Loulé;1314457;798342575.472
Loures;2210900;1078388236.42
Lourinhã;247221;100421165.232
Lousada;541464;258868459.95
Lousã;69834;32596905.032
Macedo de Cavaleiros;415239;166444051.14
Mafra;1056741;457367726.926
Maia;1421500;2189872434.8
Mangualde;213696;317512238.304
Manteigas;13750;5419855.84
Marco de Canaveses;673800;347315939.36
Marinha Grande;150162;275452266.618
Marvão;14115;6435132.344
Matosinhos;777072;412039788.88
Mação;54696;22521964.008
Mealhada;138552;91802413.032
Melgaço;128928;39725853.18
Mesão Frio;14532;5057849.55
Mira;79552;37979848.216
Miranda do Corvo;46596;14770044.544
Miranda do douro;104896;48482723.692
Mirandela;606515;277921455.42
Mogadouro;199296;76978799.94
Moimenta da Beira;179991;67530120.672
Moita;275695;75101547.272
Monchique;18280;10859149.38
Mondim de Basto;42072;13785081.048
Monforte;15575;7181780.84
Montalegre;314280;86838379.75
Montemor-o-Novo;151690;82452724.116
Montemor-o-Velho;229824;89142490.14
Montijo;329110;169411965.16
Monção;405486;229109349.888
Mora;25417;10989132.696
Mortágua;66980;53824236.816
Moura;104210;46750125.62
Mourão;11772;4916288.538
Murtosa;51420;21207520.592
Murça;40257;12499736.494
Mértola;88198;18470491.396
Mêda;60696;16883870.168
Nazaré;91890;38131650.72
Nelas;114276;192039559.628
Nisa;75702;18352836.152
Odemira;426111;193178845.054
Odivelas;655216;178049273.728
Oeiras;1030520;502442630.16
Oleiros;62161;24151049.6
Olhão;243040;83251723.312
Oliveira de Azeméis;699951;709424175.602
Oliveira de Frades;87997;68486778.832
Oliveira do Bairro;109920;82886267.824
Oliveira do Hospital;338974;257202938.336
Ourique;33360;11821447.48
Ourém;774744;357977057.854
Ovar;323900;259000547.44
Palmela;313632;328285060.16
Pampilhosa da Serra;53480;13792882.8
Paredes;1120096;669829806.648
Paredes de Coura;118458;59350411.68
Paços de Ferreira;575410;381021159.264
Pedrógão Grande;15328;5691665.808
Penacova;96173;40224373.072
Penafiel;1453942;860615506.464
Penalva do Castelo;77194;25793249.79
Penamacor;89768;19010776.68
Penedono;22432;6187466.278
Penela;24414;11041459.176
Peniche;164941;64445612.48
Peso da Régua;113388;47181869.712
Pinhel;191797;54118897.884
Pombal;971126;547154424.882
Ponte da Barca;186080;64462173.044
Ponte de Lima;1304750;663448327.62
Ponte de Sor;98406;47501680.98
Portalegre;219394;133594273.974
Portel;50292;197318462.748
Portimão;341040;132270311.412
Porto;2624595;1365293877.122
Porto de Mós;276108;211535841.84
Proença-a-Nova;37190;18090497.84
Póvoa de Lanhoso;397474;183958211.184
Póvoa de Varzim;588341;209762766.318
Redondo;17940;8022887.128
Reguengos de Monsaraz;50631;24220010.672
Resende;93000;31793126.948
Ribeira de Pena;35336;22027874.33
Rio Maior;240354;268470131.14
Sabrosa;78928;28504645.8
Sabugal;504220;129072572.46
