d1;d2
Aveiro          ;Aveiro          
Beja            ;Beja            
Braga           ;Braga           
Bragança        ;Braganca        
Castelo Branco  ;Castelo Branco  
Coimbra         ;Coimbra         
Faro            ;Faro            
Guarda          ;Guarda          
Leiria          ;Leiria          
Lisboa          ;Lisboa          
Portalegre      ;Portalegre      
Porto           ;Porto           
Santarém        ;Santarem        
Setúbal         ;Setubal         
Viana Do Castelo;Viana Do Castelo
Vila Real       ;Vila Real       
Viseu           ;Viseu           
Évora           ;Evora           
